Ano;Safra;Fazenda;Talhao;Cultura;Variedade;Destinação;Colhido (Kg);Area Colhida (Há);Data Colheita
2024;2;Boa Viagem;Pivô 3;Milho;AG 8701 PRO4;Grão;287320;33,16;02/07/2024
2024;2;Boa Viagem;Pivô 6;Milho;MG 593 PWU;Grão;209006;36,3;08/07/2024
2024;1;Lagoa Bonita;Pivô 13;Algodão;FM 985 GLTP;Fibras;414550;133,48;01/06/2024
2024;2;São Bernardo;Coromandel;Sorgo;1G233;Grão;160544;63,78;11/07/2024
2024;2;São Bernardo;Gurinhatã;Sorgo;1G233;Grão;126724;59,11;11/07/2024
2024;2;São Bernardo;Carneirinhos;Sorgo;1G233;Grão;112778;52,26;25/07/2024
2024;2;São Bernardo;Ouro Preto;Sorgo;1G233;Grão;101440;36,73;29/07/2024
2024;2;Boa Viagem;Pivô 4;Algodão;FM 906 GLT;Fibras;163230;35;24/07/2024
2024;1;Boa Viagem;Pivô 1;Algodão;FM 906 GLT;Fibras;892280;190,6;30/07/2024
2024;2;Austrália;Pirituba;Sorgo;K 200;Grão;42428;30,49;22/07/2024
2024;2;Austrália;Santa Rita I;Sorgo;K 200;Grão;21825;5,12;05/08/2024
2024;2;Austrália;São Caetano;Sorgo;K 200;Grão;65989;17,61;05/08/2024
2024;2;Austrália;Jaboticabal;Sorgo;K 200;Grão;20215;18;06/08/2024
2024;2;Austrália;Campinas;Sorgo;K 200;Grão;24085;26,62;05/08/2024
2024;2;Austrália;Bauru;Sorgo;K 200;Grão;41603;54,87;02/08/2024
2024;2;Austrália;Ubatuba;Sorgo;K 200;Grão;12532;40,86;05/08/2024
2024;2;Austrália;Marília;Sorgo;K 200;Grão;84409;57,68;22/07/2024
2024;2;Austrália;Santo André;Sorgo;K 200;Grão;4850;7;07/08/2024
2024;2;Austrália;Pivô 1;Milho;AG 8701 PRO4;Grão;523924;67,56;29/07/2024
2024;2;Austrália;Pivô 3;Milho;MG 593 PWU;Grão;352148;45;25/07/2024
2024;2;Austrália;Pivô 4;Milho;MG 593 PWU;Grão;260119;46;22/07/2024
2024;2;Lagoa Bonita;Pivô 9;Algodão;FM 906 GLT;Fibras;348100;64,73;08/08/2024
2024;1;Boa Viagem;Pivô 4;Soja;BMX EXATA i2X;Grão;302272;70;24/07/2024
2024;2;Boa Viagem;Pivô 5;Algodão;FM 906 GLT;Fibras;182720;55,05;08/08/2024
2024;2;Atena;Pivô 5;Algodão;FM 906 GLT;Fibras;585900;116,69;15/08/2024
2024;2;Atena;Pivô 1;Feijão;TAA DAMA;Grão;321880;125,33;17/08/2024
2024;1;Colorado;Pivô 8;Algodão;FM 985 GLTP;Fibras;684600;156,66;15/08/2024
2024;2;Atena;Pivô 7;Feijão;TAA DAMA;Grão;218510;80,37;30/08/2024
2024;1;Pedra do Cerrado;RT-1_G2;Capim;Mombaça;Feno;10919317;165;01/05/2024
2024;2;Boa Viagem;Pivô 8;Feijão;TAA DAMA;Grão;172764;81,11;28/08/2024
2024;2;São Pedro;Pivô 4;Algodão;FM 906 GLT;Fibras;548100;148,67;10/09/2024
2024;2;Lagoa Bonita;Pivô 3;Milho;B2401 PWU;Grão;618327;85,774;10/09/2024
2024;2;Pedra do Cerrado;Pivô 6;Feijão;TAA DAMA;Grão;378320;140;02/09/2024
2024;2;Austrália;Pivô 5;Milho;B2801 PWU;Grão;300779;46;12/09/2024
2024;2;Lagoa Bonita;Pivô 12;Milho;MG 593 PWU;Grão;937566;114,33;23/09/2024
2024;2;São Pedro;Pivô 2;Ervilha;Lapar 83;Outros;117660;112,0126;15/09/2024
2024;2;Lagoa Bonita;Pivô 10;Milho;B2782 PWU;Grão;1079774;133,01;18/10/2024
